,PARK_NAME,PARK_TYPE,SUB_TYPE,AREA_HECTARES,ACCESS_POINTS
397,GLADSTONE-SHAW PARK,NEIGHBOURHOOD PARKS,VEST POCKET,0.65,ROSEGARDEN DR
398,SCOTTSDALE PARKETTE NORTH,NEIGHBOURHOOD PARKS,PARKETTE,0.057,"SCOTTSDALE CRT, KENNEDY RD S"
399,FRED KEE CHANNEL,ENVIRONMENTAL PARKS,CHANNEL,2.397,"MAPLECREST CRT, SADDLETREE TRAIL"
400,MADOC PARK,NEIGHBOURHOOD PARKS,LOCAL,1.5730000000000002,"CRAWFORD DR, LAUDERDALE RD, HANSEN RD"
401,IVY BRIDGE PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.498,"IVYBRIDGE DR, BRUCE BEER DR, RUTHERFORD RD N"
402,AMERICAN WOODCOCK VALLEY,ENVIRONMENTAL PARKS,VALLEY,3.931,COUNTRYSIDE DR
403,CHINGUACOUSY SANDALWOOD COMMUNITY PARK,COMMUNITY PARKS,COMMUNITY PARK,11.164000000000001,"CHINGUACOUSY RD, SEWELLS LANE, ESLER LANE "
404,SPEARHEAD VISTA,ENVIRONMENTAL PARKS,VISTA,0.271,LOUVRE CIR
405,FRANCIS BRANSBY WOODS,ENVIRONMENTAL PARKS,WOODLOT,4.532,"HELLYER AVE, OLIVE MARIE"
406,GLENBROOK VALLEY,ENVIRONMENTAL PARKS,VALLEY,1.4080000000000001,"MCVEAN DR, GLENBROOK BLVD"
407,MIDSUMMER PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.469,"MIDSUMMER DR, GARRYOAKS DR"
408,PEELTON PARK,ENVIRONMENTAL PARKS,VALLEY,7.4479999999999995,"CHAROLAIS BLVD, MCLAUGHLIN RD S, PARKSIDE DR"
409,KEN WHILLANS DRIVE PARK,ENVIRONMENTAL PARKS,VALLEY,3.234,"KEN WHILLANS DR, CHURCH ST E, VODDEN ST E"
410,WESTCHESTER PARK,ENVIRONMENTAL PARKS,WOODLOT,1.714,"CHATTERTON CT, AUSTIN DR"
411,JEFFERSON PARK,NEIGHBOURHOOD PARKS,LOCAL,6.789,"JEFFERSON RD, NORTH PARK DR, JORDAN BLVD, JAFFA DR, JACOBS SQ, JENSEN SQ, JASMINE SQ, JEROME CRES"
412,DONWOODS PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.054000000000000006,"DONWOODS CRT,"
413,WYNVIEW PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.599,"FRANKTOWN DR, GENTRY WAY, WYNVIEW ST"
414,PEDIGREE POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.315,
415,THOMAS ANDERSON POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.3630000000000002,"PERGOLA WAY, BELLAMY CRT, CLEMENTINE DR"
416,LENNON POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.014,ROLLINGWOOD DR
417,HAVELOCK RETENTION FACILITY,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.499,"HAVELOCK DR,"
418,ODLUM POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.472,"AIRPORT RD, "
419,WHEATFIELD POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.845,EAGLE PLAINS DR
420,HILLDALE PARK NORTH,ENVIRONMENTAL PARKS,VALLEY,6.284,"WILLIAMS PKWY E, HILLDALE CR, MELITA PL"
421,NEVILLE-LAKE PARK,NEIGHBOURHOOD PARKS,LOCAL,3.392,"WEYBRIDGE TRAIL, STEPHENSEN CRT"
422,MAYBECK PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.8029999999999999,"MONTREAL ST, MAYBECK DR, CREDITVIEW RD"
423,ARTHUR WARNER POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,4.177,
424,RICHVALE PARK,COMMUNITY PARKS,COMMUNITY PARK,12.163,"RICHVALE DR N, SANDALWOOD PKWY E, CANDLEWOOD CRT, RAWLING CRES, REGENTVIEW DR, MONTE VISTA TRAIL, PEGGY CRT"
425,DONALD M GORDON CHINGUACOUSY PARK,CITY PARKS,CITY SPORTS PARK,40.133,"BRAMALEA RD, CENTRAL PARK DR, QUEEN ST E"
426,MAXWELL AND LOIS RICE PARK,NEIGHBOURHOOD PARKS,PARKETTE,1.206,"DALMENY DR,ELBERN MARKELL DR, CROCUS ST"
427,SLEIGHTHOLME PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.7240000000000001,"ACADEMY DR,LITERACY DR, SLEIGHTHOLME CRES"
428,EZARD PARK,NEIGHBOURHOOD PARKS,PARKETTE,3.735,"RAE AVE, GLENBROOK BLVD, ESTATEVIEW CIR"
429,MOSSWOOD PARK,NEIGHBOURHOOD PARKS,LOCAL,4.239,"SIMMONS BLVD, SATURN DR, LANGSTON DR, ASHURST CR, SHOWBOAT CR"
430,HOWARD STEWART CHANNEL NORTH,ENVIRONMENTAL PARKS,CHANNEL,0.742,
431,DONNELLY PARK,NEIGHBOURHOOD PARKS,LOCAL,2.945,"ESKER DR, BARR CRES, MOWAT CRT"
432,ASTORVILLE PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.15,"ASTORVILLE SQ, SPARKLETT CRES"
433,LIGHTCATCHER PARK,NEIGHBOURHOOD PARKS,TOWN SQUARE,0.703,"LIGHTCATCHER CIR, DENALI CRES,"
434,BORGSTROM VALLEY,ENVIRONMENTAL PARKS,VALLEY,9.562999999999999,"CREDITWIEW RD, STEELES AVE, OLIVE MARIE"
435,WEIDMAN AND HART CHANNEL,ENVIRONMENTAL PARKS,CHANNEL,1.517,"EARLSEBRIDGE WAY, TIDELAND DR, EDENBROOK HIL DR,"
436,TREELINE PARK,NEIGHBOURHOOD PARKS,LOCAL,2.123,"TREELINE BLVD, LINSTOCK DR"
437,MALDIVES POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.5830000000000002,"MALDIVES CRES, BRAYDON BLVD"
438,MAGGIE POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.6030000000000002,"COSMO CRT, MAGGIE DR"
439,UPPER MIMICO POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,5.8660000000000005,CHRYSLER DR
440,LINFOOT POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,2.221,HUMBER WEST PKY
441,RAINES FAMILY POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.719,"MOUNT ROYAL CIR, LOUVAIN DR, LANDSCAPE DR"
442,SPEARHEAD POND NORTH,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.3,GOREWAY DR
443,SPEARHEAD POND SOUTH,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,2.258,"COUNTRYSIDE DR, ADRIATIC CRES"
444,KAY SNELGROVE VALLEY,ENVIRONMENTAL PARKS,VALLEY,8.433,"SANDALWOOD PKWY W, QUEEN MARY DR"
445,MCMICKING PARK,NEIGHBOURHOOD PARKS,LOCAL,4.006,"BONISTEL CRES, EDENBROOK HILL DR,"
446,BOXCAR CHANNEL,ENVIRONMENTAL PARKS,CHANNEL,0.079,
447,BOB REID PARK AND RECREATIONAL TRAIL SOUTH,ENVIRONMENTAL PARKS,LINK,0.9059999999999999,"STEELES AVE E, TURTLECREEK BLVD"
448,KNIGHTSBRIDGE PARK NORTH,NEIGHBOURHOOD PARKS,LOCAL,0.28800000000000003,"KNIGHTSBRIDGE RD, CENTRAL PARK DR, KENSINGTON RD, KINGS CROSS RD"
449,CLAIREVILLE CONSERVATION RESERVOIR NORTH,CONSERVATION AUTHORITY-OWNED LANDS ,CONSERVATION AREA,26.177,
450,KNIGHTSBRIDGE PARK,NEIGHBOURHOOD PARKS,LOCAL,2.7769999999999997,"KNIGHTSBRIDGE RD, CENTRAL PARK DR, KENSINGTON RD, KINGS CROSS RD"
451,GEORGE M. LEE PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.82,"HADFIELD CIR, HESLOP CIR, EDENFIELD ST, WALL ST, QUAILVALLEY DR, RESSERVILLE ST"
452,JOSIAH MASON POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,7.337000000000001,"EBENEZER RD, ATTMAR DR"
453,MISSION RIDGE POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,4.093,SAINT LUKES CRT
454,TRAILSIDE POND WEST,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.345,TRAILSIDE WALK
455,TRAILSIDE POND EAST,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,0.983,PENNYROYAL CRES
456,MOON FAMILY POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.304,"BOVAIRD DR E AND AIRPORT RD, BOVAIRD DR E"
457,FAIRLAWN POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,0.7929999999999999,"HUMBER WEST PKY, FAIRLAWN BLVD"
458,ESKER POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.1179999999999999,"MOLDOVAN DR, FATHER TOBIN RD"
459,STANLEYS MILLS POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,2.5639999999999996,"AIRPORT RD, SANDALWOOD PKY E"
460,CARBERRY POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.994,LATANIA BLVD
461,BLOORE POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,12.535,"BOVARID DR E, PETER ROBERTSON BV,  SEASIDE CL, CORALREEF CR"
462,ALDERLEA,LEASED RECREATION FACILITY LANDS,LEASED RECREATION FACILITY LANDS,0.56,
463,FAIRLAWN PARK,NEIGHBOURHOOD PARKS,PARKETTE,2.8930000000000002,"MISTYMORNING DR, FAIRLAWN RD"
464,TONY RINOMATO PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.8029999999999999,"SCULPTOR ST, PENELOPE ST, GARDENBROOKE TRAIL"
465,SCOTTSDALE PARKETTE SOUTH,NEIGHBOURHOOD PARKS,PARKETTE,0.449,"SCOTTSDALE CRT, KENNEDY RD S"
466,PROFESSORS LAKE PARK,CITY PARKS,CITY PARK,37.72,"NORTH PARK DR, PROFESSOR'S LAKE PKY"
467,WILLIAM PORTER PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.10300000000000001,"BLOOMSBURY AVE, VALLEYWEST RD"
468,LINDA STEVENS POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,2.9930000000000003,LEGENDARY CIR
469,MAJOR GEORGE WRIGHT VALLEY,ENVIRONMENTAL PARKS,VALLEY,9.844,JAMES POTTER
470,INTERMODAL CHANNEL NORTH,ENVIRONMENTAL PARKS,CHANNEL,8.666,INTERMODAL DR
471,REGINALD CONOVER POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.8419999999999999,"WATCHMAN RD, HUNTSPOINT DR"
472,BALDWIN POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.247,HUNTSPOINT DR
473,SCOTTSDALE PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.096,"SCOTTSDALE CRT, KENNEDY RD S"
474,CCA EBENEZER RESOURCE MANAGEMENT TRACT WEST,CONSERVATION AUTHORITY-OWNED LANDS ,CONSERVATION AREA,15.975999999999999,"GOREWAY DR, QUEEN ST E, MCVEAN DR"
475,COLLEGE VALLEY,ENVIRONMENTAL PARKS,VALLEY,0.22399999999999998,
476,CARBERRY PARK,ENVIRONMENTAL PARKS,VALLEY,17.599,STANLEY CARBERRY DR
477,SHIELDS VALLEY WAY NORTH EAST,ENVIRONMENTAL PARKS,VALLEY,0.282,"SPARTA DR, CROCKER DR, "
478,SHIELDS VALLEY WAY NORTH WEST,ENVIRONMENTAL PARKS,VALLEY,0.21,CROCKER DR
479,TILBURY CHANNEL WEST,ENVIRONMENTAL PARKS,CHANNEL,0.195,
480,PROUDFOOT POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.557,"AIRPORT RD, "
481,WHITE SPRUCE PARK,CITY PARKS,CITY PARK,22.688000000000002,"HEART LAKE RD, BARR CRES"
482,EMERICK POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,2.888,"INGLEBOROUGH DR, "
483,RED TOP VALLEY,ENVIRONMENTAL PARKS,VALLEY,6.968,"NICEVIEW DR, SUNNY MEADOW BLVD, CEDARBRICK RD, KIPPEN CRT"
484,PELEG HOWLAND VALLEY,ENVIRONMENTAL PARKS,VALLEY,9.035,"QUEEN MARY DR, DELLS CRES, WHISPERING HILS GATE, BONISTEL CRES,"
485,NATTRESS POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,3.335,INTERMODAL DR
486,JOHN G HOOPER POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,2.515,"DON MINAKER DR, GALLUCCI CRES"
487,SWMP 1565,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,0.282,
488,MCLAUGHLIN VALLEY,ENVIRONMENTAL PARKS,VALLEY,18.08,"VINATAGE GATE, BOVAIRD, WILLIAMS PRKY"
489,LEACREST PARKETTE,ENVIRONMENTAL PARKS,CHANNEL,0.115,"LEACREST ST, LASCELLES BLVD, LEANDER ST"
490,ELCOAT POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.119,"IMPERIAL LAKES DR, DON MINAKER DR"
491,HOMESTEAD POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,4.1610000000000005,"PORCHLIGHT RD, HOMESTEAD POND"
492,KINGSWOOD PARK,NEIGHBOURHOOD PARKS,LOCAL,2.074,KINGSWOOD DR
493,DELTA PARK CHANNEL SOUTH,ENVIRONMENTAL PARKS,CHANNEL,1.811,
494,FERNFOREST WAY EAST,ENVIRONMENTAL PARKS,LINK,0.40399999999999997,"SPRUCELANDS AV, FERNFOREST DR, WILDBERRY CR"
495,FERNFOREST WAY WEST,ENVIRONMENTAL PARKS,LINK,0.912,"SPRUCELANDS AV, FERNFOREST DR, WILDBERRY CR"
496,LITTLE FAMILY PARK EAST,ENVIRONMENTAL PARKS,LINK,0.5670000000000001,"BRAMALEA RD, MAIDENGRASS RD, SUNNY MEADOW BV"
497,LITTLE FAMILY PARK WEST,ENVIRONMENTAL PARKS,LINK,0.39399999999999996,"BRAMALEA RD, MAIDENGRASS RD, SUNNY MEADOW BV"
498,HAVANNA PARK,NEIGHBOURHOOD PARKS,LOCAL,0.5660000000000001,"PINESTAFF RD, HAVANNA CRES"
499,MCVEAN PARK SOUTH,ENVIRONMENTAL PARKS,VALLEY,0.265,"RAE AVE, MCVEAN DR"
500,DOWNS BUGGY CHANNEL SOUTH,ENVIRONMENTAL PARKS,CHANNEL,0.66,"CENTRAL PARK DR, CHRYSLER DR"
501,MAYBROOK POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.71,"EBENEZER RD, MAYBROOK WAY"
502,ANGUS MORRISON PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.763," AYLESBURY DR, PONCELET RD, HENNEBERRY LANE"
503,UPPER RIDGE POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.324,"VALLEYCREEK DR, UPPER RIDGE CRES"
504,CALVERT PARK,ENVIRONMENTAL PARKS,VALLEY,13.218,"CALVERTDALE RD, VODDEN ST E, WILLIAMS PY E, NEWBY CT"
505,BEIKIE VISTA,ENVIRONMENTAL PARKS,VISTA,0.42700000000000005,"WHITEHOUSE CRES, GOREVALE DR"
506,ICELAND PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.8420000000000001,"FREESIA RD, BEGONIA CRES"
507,UPWOOD PARK,NEIGHBOURHOOD PARKS,LOCAL,1.8090000000000002,"UPWOOD PL, PETER ROBERTSON BV, LANEWOOD ST"
508,JIM IRONS PARK,NEIGHBOURHOOD PARKS,LOCAL,1.979,ACTIVE
509,GUY BELL VALLEY,ENVIRONMENTAL PARKS,VALLEY,5.095,"HARTHILL CRT, TURRET CRES, SAWSTON CIR, PACKHAM CIR, EDENBROOK HILL DR, CHINGUACOUSY DR"
510,SNURETOWN POND SOUTH,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,2.432,
511,BRUCE BEER PARK,NEIGHBOURHOOD PARKS,LOCAL,3.03,"BRUCE BEER DR, HANSEN RD N, CHARTERS RD, ABELL DR"
512,BRAMBLES VALLEY,ENVIRONMENTAL PARKS,VALLEY,1.371,"BOVAIRD DR, BRAMELEA RD, EVERINGHAM CIR"
513,CASTLEHILL PARK,NEIGHBOURHOOD PARKS,LOCAL,1.51,"KIRK DR, MAJOR WILLIAM SHARPE DR"
514,RHODA BEGLEY PARK,NEIGHBOURHOOD PARKS,VEST POCKET,0.39799999999999996,"BRAMALEA RD, DEARBOURNE BLVD"
515,CARABRAM PARK,NEIGHBOURHOOD PARKS,LOCAL,3.141,"EAGLERIDGE DR, BIGHORN CR"
516,BAYRIDGE VALLEY,ENVIRONMENTAL PARKS,VALLEY,11.389000000000001,"CASTLEMORE RD, GOREWAY DR, COTTRELLE BLVD, BAYRIDGE DR"
517,BAYRIDGE POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,2.42,"CASTLEMORE RD, GOREWAY DR, COTTRELLE BLVD, BAYRIDGE DR"
518,INTRIGUE POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.686,"FALLOWFIELD RD, CREDITVIEW RD"
519,INTRIGUE CHANNEL,ENVIRONMENTAL PARKS,CHANNEL,1.8940000000000001,"FALLOWFIELD RD, CREDITVIEW RD"
520,EDGEWARE VALLEY WEST,ENVIRONMENTAL PARKS,VALLEY,7.225,
521,TIMBERCOVE WOODLAND,ENVIRONMENTAL PARKS,WOODLOT,1.5130000000000001,
522,GREENBRIAR PARK SOUTH,COMMUNITY PARKS,COMMUNITY PARK,5.656000000000001,"GLENFOREST RD, GRENOBLE BLVD, CENTRAL PARK DR, GRAHAM CRT, GLENCASTLE SQ, GLENCAIRN SQ, GLENSTONE SQ"
523,NASMITH PARK,NEIGHBOURHOOD PARKS,LOCAL,1.851,"NASMITH ST, NEVADA CRT, NIPISSING CRES"
524,HEWSON POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,4.258,"RANCHERO DR, BRISDALE DR, SANDALWOOD PKY W"
525,BANAS PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.41100000000000003,
526,DAMATTA POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,6.234,JAMES POTTER RD
527,WA BATES POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,2.821,"FAIRHILL AVE, CHINGUACOUSY RD"
528,INTERMODAL DRIVE NORTH 2,ENVIRONMENTAL PARKS,CHANNEL,7.591,
529,JIMMIE MCKERRON VALLEY,ENVIRONMENTAL PARKS,VALLEY,7.224,
530,MAJOR GEORGE WRIGHT VALLEY NORTH,ENVIRONMENTAL PARKS,VALLEY,2.199,JAMES POTTER
531,TASKER POND ,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,6.521,
532,SNURETOWN PARK EAST,NEIGHBOURHOOD PARKS,PARKETTE,0.344,
533,WILLIAM HOSTRAWSER VALLEY,ENVIRONMENTAL PARKS,VALLEY,11.449000000000002,"DON MINAKER DR, GALLVIEW LANE, GALLUCCI CRES, ALFONSO CRES"
534,SWMP 1639,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,2.342,
535,CHECKERBERRY PARK,ENVIRONMENTAL PARKS,LINK,0.384,"GEDDES LANE, CHECKERBERRY CRES"
536,SNURETOWN POND EAST,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,4.45,
537,SNURETOWN VALLEY NORTH,ENVIRONMENTAL PARKS,VALLEY,10.295,
538,KW MULLINGS CHANNEL,ENVIRONMENTAL PARKS,VALLEY,9.921,
539,HOWARD STEWART CHANNEL,ENVIRONMENTAL PARKS,CHANNEL,0.818,
540,LOLA PARK,NEIGHBOURHOOD PARKS,VEST POCKET,0.528,
541,DUSK VALLEY,ENVIRONMENTAL PARKS,VALLEY,3.25,
542,DUSK POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.831,
543,ORENDA PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.16699999999999998,BRAMALEA RD
544,HELIOTROPE POND ,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,4.042,
545,BATSMAN PARK,COMMUNITY PARKS,COMMUNITY SPORTS PARK,12.199000000000002,"FATHER TOBLIN RD, FAIRWOOD CIR"
546,RAVENSCLIFFE PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.804,"RAVENSCLIFFE CT, CASTLEHILL RD"
547,ROCKY POINT PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,,
548,TRAVELLERS HOME POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.9369999999999998,PANNAHILL DR
549,SAILWIND WAY,ENVIRONMENTAL PARKS,LINKS,,"DIXIE RD, GREAT LAKES DRIVE,SAILWIND RD, MARNINGMIST ST"
550,TEXTILE MILL VALLEY,ENVIRONMENTAL PARKS,VALLEY,7.995,
551,TEXTILE MILL POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.6030000000000002,
552,JOE ASHTON VALLEY NORTH,ENVIRONMENTAL PARKS,CHANNEL,3.387,"WILLIAMS PKWY, CREDITVIEW DR"
553,HOWARD STEWART PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.996,ISLE ROYAL TERR
554,CHRYSANTHEMUM POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.495,
555,LITTLE MINNOW PARK,NEIGHBOURHOOD PARKS,TOWN SQUARE,0.374,"LITTLE MINNOW RD, VOLNER RD, QUASAR ST, HAFIA ST"
556,BOYCE PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.598,
557,WOLF COUNTRY POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,2.66,
558,WOLF COUNTRY VALLEY,ENVIRONMENTAL PARKS,VALLEY,14.14,
559,SAMUEL CONNOR POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,3.84,
560,JOE ASHTON POND NORTH,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,2.7539999999999996,"WILLIAMS PKWY, CREDITVIEW DR"
561,HAYWOOD POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,2.9210000000000003,FALLOWFIELD RD
562,DONNIEBIELD WOODS,ENVIRONMENTAL PARKS,WOODLOT,3.9610000000000003,
563,BAGWELL VALLEY,ENVIRONMENTAL PARKS,VALLEY,6.837000000000001,"GOOD HOPE RD, DOLLY VARDEN DR, ARCTIC WOLF RD, OCEAN RIDGE DR, ACRCTIC WILLOW RD, CAPE DORSET CRES, ROCKGARDEN TRAIL"
564,SHEFFIELD PARK WEST,ENVIRONMENTAL PARKS,VALLEY,13.187000000000001,"BOVAIRD DR E, HINCHLEY WOOD GR, DAWSON CRES, COLLINS CRES"
565,RAVENSWOOD RAVINE,ENVIRONMENTAL PARKS,VALLEY,10.751,"RAY LAWSON BV, RAVENSWOOD DR, WATERLOO CT, REMBRANDT CR"
566,ALACOQUE POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.206,
567,LAURELCREST PARK NORTH,ENVIRONMENTAL PARKS,OPEN SPACE,6.059,"LAURELCREST ST, LAMBETH ST, LILLINGTON ST, HILLSIDE DR"
568,OSTRANDER PARK SOUTH,ENVIRONMENTAL PARKS,VALLEY,1.5190000000000001,"OSTRANDER BLVD, MISSISSAUGA RD"
569,"ROSE THEATRE, BRAMPTON",CITY PARKS,CITY PARK,0.82,THEATRE LANE
570,HAVELOCK PARK,NEIGHBOURHOOD PARKS,LOCAL,1.791,"HAVELOCK DR, MIRABELL CRT, BLACKMERE CIR"
571,TRAILSIDE PARK,ENVIRONMENTAL PARKS,OPEN SPACE,7.325,"PENNYROYAL DR, TRAILSIDE WALK"
572,JOSEPH LAWSON POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.5859999999999999,FATHER TOBIN RD
573,GUY BELL POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.349,"HARTHILL CRT, TURRET CRES, SAWSTON CIR, PACKHAM CIR, EDENBROOK HILL DR, CHINGUACOUSY DR"
574,DUNCAN FOSTER POND WEST,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.577,
575,DUNCAN FOSTER VALLEY SOUTH,ENVIRONMENTAL PARKS,VALLEY,17.792,
576,DON BEATTY POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.324,
577,DON BEATTY VALLEY,ENVIRONMENTAL PARKS,VALLEY,12.392000000000001,
578,IRON BLOCK POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,2.8360000000000003,WANLESS DR
579,HEATH POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,0.866,
580,CHANT VALLEY,ENVIRONMENTAL PARKS,VALLEY,7.132000000000001,"BRAYDON BLVD, CROCKER DR, BLAKETON CRT, "
581,HALLDORSON PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.899,"HALLDORSON TRAIL, BLACKWELL PL, HARTFORD TRAIL"
582,VONTRESS PARK,NEIGHBOURHOOD PARKS,LOCAL,1.0170000000000001,"VONTRESS ST, TEMPLEHILL RD, SUSSEXVALE DR"
583,JIMMIE MCKERRON VALLEY WEST,ENVIRONMENTAL PARKS,VALLEY,1.673,
584,JIMMIE MCKERRON POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,5.904,
585,WINTERFOLD PARK,NEIGHBOURHOOD PARKS,LOCAL,2.016,"KENNEDY RD N, SIMMONS BLVD, WINTERFOLD DR, LANGSTON DR"
586,GROAT CHANNEL,ENVIRONMENTAL PARKS,CHANNEL,7.922999999999999,"WETMEADOW DR, FAIRHILL AVE"
587,LUCAS HOLTOM CHILDRENS PARK,NEIGHBOURHOOD PARKS,LOCAL,4.113,"LEANDER ST, HOWDEN BLVD, LIME RIDGE DR"
588,MAITLAND PARK SOUTH,ENVIRONMENTAL PARKS,VALLEY,4.699,"WILLIAMS PKWY, MAITLAND ST, MAJESTIC CRES, MAYFAIR CRES"
589,CHRISTOPHER STORK POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,4.477,
590,SHIELDS VALLEY,ENVIRONMENTAL PARKS,VALLEY,12.519,"BUTTERFLY RIDGE CRT, MAPLECREST CRT"
591,SNURETOWN POND WEST,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.923,
592,HERZIG POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.94,
593,HERZIG VALLEY,ENVIRONMENTAL PARKS,VALLEY,6.465,
594,RIVER HEIGHTS VALLEY,ENVIRONMENTAL PARKS,VALLEY,3.9989999999999997,COTTRELLE BLVD
595,ROEHAMPTON PARK,NEIGHBOURHOOD PARKS,LOCAL,1.9369999999999998,"PEELTON HEIGHTS RD, ROEHAMPTON CR, KEYSTONE DR"
